,state,value,age,level
295,Ohio,0.9412997961497824,4554,white
296,Oklahoma,0.8975627776751601,4554,white
297,Oregon,0.9497979508303569,4554,white
298,Pennsylvania,0.9578183432418356,4554,white
299,Rhode Island,0.9813350557943737,4554,white
300,South Carolina,0.9102592353194656,4554,white
301,South Dakota,0.9364988057573749,4554,white
302,Tennessee,0.9049452325147234,4554,white
303,Texas,0.8713286680760116,4554,white
304,Utah,0.9378183953367076,4554,white
305,Vermont,0.9570958066223607,4554,white
306,Virginia,0.9515553955835901,4554,white
307,Washington,0.9523138375711041,4554,white
308,West Virginia,0.9191428772678333,4554,white
309,Wisconsin,0.9647072957740923,4554,white
310,Wyoming,0.8953693884764935,4554,white
311,Puerto Rico,0.9438826269009173,4554,white
312,Alabama,0.9244259962260952,5564,white
313,Alaska,0.9110188626810714,5564,white
314,Arizona,0.9405530407910361,5564,white
315,Arkansas,0.9324969069526017,5564,white
316,California,0.9620943464169968,5564,white
317,Colorado,0.9433842696716579,5564,white
318,Connecticut,0.9697108330671402,5564,white
319,Delaware,0.957926300502544,5564,white
320,District of Columbia,0.987133848657445,5564,white
321,Florida,0.9092066797441513,5564,white
322,Georgia,0.9023818311232963,5564,white
323,Hawaii,0.9336304115113645,5564,white
324,Idaho,0.9100021238131252,5564,white
325,Illinois,0.953970241878201,5564,white
326,Indiana,0.9444907510841483,5564,white
327,Iowa,0.9560546300935788,5564,white
328,Kansas,0.925725954260716,5564,white
329,Kentucky,0.9493080106278708,5564,white
330,Louisiana,0.9522017485486128,5564,white
331,Maine,0.9349978008330961,5564,white
332,Maryland,0.96576287767273,5564,white
333,Massachusetts,0.9827587158292039,5564,white
334,Michigan,0.9611814019864098,5564,white
335,Minnesota,0.9652715569092165,5564,white
336,Mississippi,0.9102824492817322,5564,white
337,Missouri,0.9306576797385621,5564,white
338,Montana,0.9141311533562295,5564,white
339,Nebraska,0.9546309087320959,5564,white
340,Nevada,0.9235511713933415,5564,white
341,New Hampshire,0.9608594568355433,5564,white
342,New Jersey,0.9705377995665622,5564,white
343,New Mexico,0.9235575319622013,5564,white
344,New York,0.9698412780934655,5564,white
345,North Carolina,0.9227072290147867,5564,white
346,North Dakota,0.9641458733205375,5564,white
347,Ohio,0.947375064316954,5564,white
348,Oklahoma,0.9086551832281047,5564,white
349,Oregon,0.9467867315452172,5564,white
350,Pennsylvania,0.9622608370247119,5564,white
351,Rhode Island,0.9651143113397526,5564,white
352,South Carolina,0.9278770833333333,5564,white
353,South Dakota,0.9431885453979912,5564,white
354,Tennessee,0.9197205473773278,5564,white
355,Texas,0.8943386952486198,5564,white
356,Utah,0.9460828832273792,5564,white
357,Vermont,0.970646069069458,5564,white
358,Virginia,0.9572272708178725,5564,white
359,Washington,0.9519051561955978,5564,white
360,West Virginia,0.9369109657389955,5564,white
361,Wisconsin,0.9624231980153811,5564,white
362,Wyoming,0.903631172266942,5564,white
363,Puerto Rico,0.9432561803199224,5564,white
364,Alabama,0.9977853656556637,6574,white
365,Alaska,0.9916829057596882,6574,white
366,Arizona,0.9926689954220025,6574,white
367,Arkansas,0.9952628404583781,6574,white
368,California,0.9933683390145402,6574,white
369,Colorado,0.9951739670969719,6574,white
370,Connecticut,0.9960249299124024,6574,white
371,Delaware,0.9924508337657316,6574,white
372,District of Columbia,1.0,6574,white
373,Florida,0.9928444925561645,6574,white
374,Georgia,0.9926854984656542,6574,white
375,Hawaii,0.9893086869662576,6574,white
376,Idaho,0.9954253743623498,6574,white
377,Illinois,0.9935188620636098,6574,white
378,Indiana,0.9959538916387071,6574,white
379,Iowa,0.9959745941075042,6574,white
380,Kansas,0.9954408825397809,6574,white
381,Kentucky,0.9952734827042929,6574,white
382,Louisiana,0.9943610045220775,6574,white
383,Maine,0.9944012892648625,6574,white
384,Maryland,0.995694347808292,6574,white
385,Massachusetts,0.9950546455180291,6574,white
386,Michigan,0.9957981387714718,6574,white
387,Minnesota,0.9965078885618616,6574,white
388,Mississippi,0.9959457392013871,6574,white
389,Missouri,0.9956822569306913,6574,white
390,Montana,0.9979320049445295,6574,white
391,Nebraska,0.995514319030111,6574,white
392,Nevada,0.9924898224456821,6574,white
393,New Hampshire,0.9976154810308459,6574,white
394,New Jersey,0.9937966038955132,6574,white
395,New Mexico,0.9956645955287395,6574,white
396,New York,0.9954259005584517,6574,white
397,North Carolina,0.995604647515172,6574,white
398,North Dakota,0.9995916298194722,6574,white
399,Ohio,0.994301705046608,6574,white
400,Oklahoma,0.9957816765148505,6574,white
401,Oregon,0.9976595205921958,6574,white
402,Pennsylvania,0.9939907627641232,6574,white
403,Rhode Island,0.9964933071707497,6574,white
404,South Carolina,0.9960830030310096,6574,white
405,South Dakota,0.9967772750653467,6574,white
406,Tennessee,0.9957046287904614,6574,white
407,Texas,0.9909882731520159,6574,white
408,Utah,0.996541217907799,6574,white
409,Vermont,0.9986896432368284,6574,white
410,Virginia,0.9948128137872012,6574,white
411,Washington,0.994558869168017,6574,white
412,West Virginia,0.9962781140506041,6574,white
413,Wisconsin,0.9961662621299955,6574,white
414,Wyoming,0.999459983164181,6574,white
415,Puerto Rico,0.9873340955410846,6574,white
416,Alabama,0.9989021286117871,o75,white
417,Alaska,0.9977826188438497,o75,white
418,Arizona,0.9981557397002834,o75,white
419,Arkansas,0.9990297071332698,o75,white
420,California,0.996909049793736,o75,white
421,Colorado,0.9984437372869264,o75,white
422,Connecticut,0.9969737227454659,o75,white
423,Delaware,0.9994746795545283,o75,white
424,District of Columbia,1.0,o75,white
425,Florida,0.9967364520493934,o75,white
426,Georgia,0.9967147142433597,o75,white
427,Hawaii,0.9910475012515829,o75,white
428,Idaho,0.9977106608281581,o75,white
429,Illinois,0.9976775968758655,o75,white
430,Indiana,0.999002398754753,o75,white
431,Iowa,0.9989280953537056,o75,white
432,Kansas,0.9949466875536914,o75,white
433,Kentucky,0.9976242926871409,o75,white
434,Louisiana,0.9977552779382655,o75,white
435,Maine,0.9978900791006783,o75,white
436,Maryland,0.9976437831848857,o75,white
437,Massachusetts,0.9965427537068609,o75,white
438,Michigan,0.9990152999936777,o75,white
439,Minnesota,0.9997214553818405,o75,white
440,Mississippi,0.9961948728709824,o75,white
441,Missouri,0.9971647679281432,o75,white
442,Montana,0.999225644681531,o75,white
443,Nebraska,0.9982408906213868,o75,white
444,Nevada,0.9956989794619907,o75,white
445,New Hampshire,1.0,o75,white
446,New Jersey,0.99642305199661,o75,white
447,New Mexico,0.9964409337001864,o75,white
448,New York,0.9989729195054841,o75,white
449,North Carolina,0.9983972454353753,o75,white
450,North Dakota,0.9986006391110925,o75,white
451,Ohio,0.9978091307060117,o75,white
452,Oklahoma,0.9987850612970961,o75,white
453,Oregon,0.9984361744534277,o75,white
454,Pennsylvania,0.9972221884199219,o75,white
455,Rhode Island,0.9964852074281128,o75,white
456,South Carolina,0.9985028096009704,o75,white
457,South Dakota,0.9998370096707595,o75,white
458,Tennessee,0.9985078987206076,o75,white
459,Texas,0.9953967002254279,o75,white
460,Utah,0.9989057565516095,o75,white
461,Vermont,0.9980323154349718,o75,white
462,Virginia,0.9974212091223075,o75,white
463,Washington,0.9987569362269223,o75,white
464,West Virginia,0.9994405633527038,o75,white
465,Wisconsin,0.9979117600095805,o75,white
466,Wyoming,0.9976932567995279,o75,white
467,Puerto Rico,0.9935754352594088,o75,white
468,Alabama,0.9583264428642302,u6,black
469,Alaska,0.8297872340425532,u6,black
470,Arizona,0.9347803723896718,u6,black
471,Arkansas,0.9581200698500633,u6,black
472,California,0.9669895109110638,u6,black
473,Colorado,0.9823661830915458,u6,black
474,Connecticut,0.9593160377358491,u6,black
475,Delaware,0.9696125437346119,u6,black
476,District of Columbia,0.9858075860336599,u6,black
477,Florida,0.9312755811802925,u6,black
478,Georgia,0.9653736361735628,u6,black
479,Hawaii,1.0,u6,black
480,Idaho,1.0,u6,black
481,Illinois,0.9849353257952244,u6,black
482,Indiana,0.9297462005791396,u6,black
483,Iowa,0.9848338795707217,u6,black
484,Kansas,0.9770434138665186,u6,black
485,Kentucky,0.9632129014396457,u6,black
486,Louisiana,0.9569824792146179,u6,black
487,Maine,0.9103800340328985,u6,black
488,Maryland,0.9490318142157191,u6,black
489,Massachusetts,0.9985774455384787,u6,black
490,Michigan,0.983214983745347,u6,black
491,Minnesota,0.9640239197530864,u6,black
492,Mississippi,0.9565048812573566,u6,black
493,Missouri,0.9550088071056478,u6,black
494,Montana,,u6,black
495,Nebraska,0.8929455445544554,u6,black
496,Nevada,0.946115177705265,u6,black
497,New Hampshire,0.8903170522707797,u6,black
498,New Jersey,0.9745088256954838,u6,black
499,New Mexico,1.0,u6,black
500,New York,0.9697282272337376,u6,black
501,North Carolina,0.9593930163498918,u6,black
502,North Dakota,,u6,black
503,Ohio,0.9573510597371458,u6,black
504,Oklahoma,0.984901102219538,u6,black
505,Oregon,1.0,u6,black
506,Pennsylvania,0.9559351391961267,u6,black
507,Rhode Island,0.9896774193548387,u6,black
508,South Carolina,0.9608652856189258,u6,black
509,South Dakota,0.9414306289006241,u6,black
510,Tennessee,0.9593860656522155,u6,black
511,Texas,0.9269570208796728,u6,black
512,Utah,0.9739636861939021,u6,black
513,Vermont,1.0,u6,black
514,Virginia,0.9719693104666222,u6,black
515,Washington,0.9923349056603774,u6,black
516,West Virginia,0.9721478307445099,u6,black
517,Wisconsin,0.9876602873896514,u6,black
518,Wyoming,,u6,black
519,Puerto Rico,0.9858278603525752,u6,black
520,Alabama,0.9501515530953965,618,black
521,Alaska,1.0,618,black
522,Arizona,0.9059010218155393,618,black
523,Arkansas,0.9438609240691747,618,black
524,California,0.9614829141266185,618,black
525,Colorado,0.9595860298735698,618,black
526,Connecticut,0.9417350084336649,618,black
527,Delaware,0.9453266244091573,618,black
528,District of Columbia,0.9844638527070234,618,black
529,Florida,0.9220910133543325,618,black
530,Georgia,0.9391623954356175,618,black
531,Hawaii,1.0,618,black
532,Idaho,0.970317297850563,618,black
533,Illinois,0.9731482405746916,618,black
534,Indiana,0.9454716469511575,618,black
535,Iowa,0.9610925110132159,618,black
536,Kansas,0.950832612863211,618,black
537,Kentucky,0.9551440929192788,618,black
538,Louisiana,0.9764071924218647,618,black
539,Maine,0.9322237818327652,618,black
540,Maryland,0.9613922288833517,618,black
541,Massachusetts,0.978348070828624,618,black
542,Michigan,0.9829761258817146,618,black
543,Minnesota,0.9411298889425398,618,black
544,Mississippi,0.9569880887077815,618,black
545,Missouri,0.9549296462771155,618,black
546,Montana,,618,black
547,Nebraska,0.8949701713097258,618,black
548,Nevada,0.963339255311274,618,black
549,New Hampshire,0.9305084745762712,618,black
550,New Jersey,0.9428826348526562,618,black
551,New Mexico,0.9759162303664921,618,black
552,New York,0.9668127795901184,618,black
553,North Carolina,0.9641301746171052,618,black
554,North Dakota,,618,black
555,Ohio,0.9593362368377529,618,black
556,Oklahoma,0.9612162457962709,618,black
557,Oregon,0.9841569956969618,618,black
558,Pennsylvania,0.9435780311908771,618,black
559,Rhode Island,0.9608473044875012,618,black
560,South Carolina,0.9407019342887623,618,black
561,South Dakota,0.9311433986102338,618,black
562,Tennessee,0.9471488546183208,618,black
563,Texas,0.9104604132879345,618,black
564,Utah,0.9834762601966116,618,black
565,Vermont,1.0,618,black
566,Virginia,0.9657994235016658,618,black
567,Washington,0.9584152609610542,618,black
568,West Virginia,0.8258868128892499,618,black
569,Wisconsin,0.9738904432922706,618,black
570,Wyoming,,618,black
571,Puerto Rico,0.9392082940622055,618,black
572,Alabama,0.7787394735848344,1925,black
573,Alaska,0.6697201017811705,1925,black
574,Arizona,0.7910910628700311,1925,black
575,Arkansas,0.8451682857206081,1925,black
576,California,0.9026930922021401,1925,black
577,Colorado,0.8995849873691808,1925,black
578,Connecticut,0.9298431885004901,1925,black
579,Delaware,0.894302377747869,1925,black
580,District of Columbia,0.9433522816990368,1925,black
581,Florida,0.8009812280027857,1925,black
582,Georgia,0.7881233668932892,1925,black
583,Hawaii,0.9841437632135307,1925,black
584,Idaho,0.9757455268389662,1925,black
585,Illinois,0.8759674681661195,1925,black
586,Indiana,0.8462335096552164,1925,black
587,Iowa,0.80725610118164,1925,black
588,Kansas,0.8528954191875541,1925,black
589,Kentucky,0.8819294881250922,1925,black
590,Louisiana,0.8963786194904362,1925,black
591,Maine,0.7594524119947849,1925,black
592,Maryland,0.932336219149761,1925,black
593,Massachusetts,0.9291774957957499,1925,black
594,Michigan,0.9136982931687073,1925,black
595,Minnesota,0.9090217339610976,1925,black
596,Mississippi,0.7472878719932828,1925,black
597,Missouri,0.7801533813618405,1925,black
598,Montana,,1925,black
599,Nebraska,0.7338063862138875,1925,black
600,Nevada,0.8054720257507094,1925,black
601,New Hampshire,0.8187711386696731,1925,black
602,New Jersey,0.8845770470227323,1925,black
603,New Mexico,0.9659795877526516,1925,black
604,New York,0.9277704422738118,1925,black
605,North Carolina,0.8596069540348831,1925,black
606,North Dakota,,1925,black
607,Ohio,0.8697642774242607,1925,black
608,Oklahoma,0.7930600870038064,1925,black
609,Oregon,0.933025641025641,1925,black
610,Pennsylvania,0.8824447202084195,1925,black
611,Rhode Island,0.9705977907732294,1925,black
612,South Carolina,0.8414074835217162,1925,black
613,South Dakota,0.32532751091703055,1925,black
614,Tennessee,0.8160898935768738,1925,black
615,Texas,0.743910043708094,1925,black
